# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = model_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data.R
# init = 2 (Default)
# random
#   seed = 4087703769
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta1.1,theta1.2,theta1.3,theta1.4,lambda.1,lambda.2,sigma,V0.1,V0.2,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6
# Adaptation terminated
# Step size = 0.0148212
# Diagonal elements of inverse mass matrix:
# 0.0218095, 0.718346, 0.0215487, 0.0739149, 0.0149962, 0.31435, 0.0221287, 0.028735, 0.0363412
108.133,0.716434,0.0148212,7,191,0,-100.467,0.255092,1.9081,0.309605,0.482307,0.742535,-0.358626,0.0107665,0.0275458,0.0179143,0.255092,1.9081,0.742535,0.309605,0.482307,-0.358626
110.994,0.907894,0.0148212,8,511,0,-102.644,0.392823,0.219558,0.379246,0.736074,0.407558,0.486737,0.00748234,0.0151138,0.0159924,0.392823,0.219558,0.407558,0.379246,0.736074,0.486737
113.403,0.976376,0.0148212,8,383,0,-109.855,0.333285,0.308744,0.392418,0.792454,0.570605,0.63349,0.00876894,0.0205975,0.0148393,0.333285,0.308744,0.570605,0.392418,0.792454,0.63349
114.502,0.810427,0.0148212,8,255,0,-108.545,0.229476,1.94795,0.452241,0.919222,0.601287,1.12086,0.00858895,0.0268366,0.0119262,0.229476,1.94795,0.601287,0.452241,0.919222,1.12086
113.82,0.719144,0.0148212,6,127,0,-110.203,0.21605,1.76514,0.461465,0.97709,0.540077,1.22703,0.00816145,0.028497,0.0114558,0.21605,1.76514,0.540077,0.461465,0.97709,1.22703
111.568,0.886084,0.0148212,8,255,0,-108.628,0.193341,1.25435,0.453012,1.34362,0.41381,1.52521,0.00904356,0.0328572,0.0144239,0.193341,1.25435,0.41381,0.453012,1.34362,1.52521
112.725,0.645988,0.0148212,7,159,0,-109.189,0.227611,1.59457,0.444254,0.911163,0.595499,1.01459,0.0103253,0.0302716,0.0128017,0.227611,1.59457,0.595499,0.444254,0.911163,1.01459
110.297,0.897714,0.0148212,5,31,0,-109.268,0.220638,1.45333,0.439199,0.95037,0.607882,1.04332,0.0101659,0.0311638,0.0127611,0.220638,1.45333,0.607882,0.439199,0.95037,1.04332
112.916,0.882151,0.0148212,7,159,0,-108.421,0.229418,1.87281,0.462077,0.914828,0.595873,1.2115,0.00986371,0.0281781,0.0126365,0.229418,1.87281,0.595873,0.462077,0.914828,1.2115
112.172,0.806692,0.0148212,7,223,0,-102.326,0.247768,4.28553,0.423369,0.905965,0.664315,0.929838,0.00929275,0.02301,0.0125901,0.247768,4.28553,0.664315,0.423369,0.905965,0.929838
112.837,0.95306,0.0148212,8,255,0,-109.218,0.237346,1.94871,0.413954,0.922609,0.64445,0.883403,0.00918783,0.0288225,0.0150876,0.237346,1.94871,0.64445,0.413954,0.922609,0.883403
115.177,0.640815,0.0148212,8,255,0,-109.884,0.245464,0.869728,0.401324,0.780944,0.568501,0.675636,0.00837864,0.0256571,0.0147566,0.245464,0.869728,0.568501,0.401324,0.780944,0.675636
111.715,0.828241,0.0148212,8,255,0,-107.089,0.359386,0.291297,0.318081,0.55728,0.578303,-0.146288,0.00838155,0.0186666,0.0183514,0.359386,0.291297,0.578303,0.318081,0.55728,-0.146288
108.23,0.973067,0.0148212,8,255,0,-105.355,0.358936,0.228509,0.32118,0.62519,0.449382,0.0105481,0.0111313,0.0228639,0.018944,0.358936,0.228509,0.449382,0.32118,0.62519,0.0105481
110.633,0.974044,0.0148212,8,255,0,-101.673,0.231698,4.9401,0.281517,0.454735,0.622877,-0.479395,0.0082766,0.0277737,0.0228797,0.231698,4.9401,0.622877,0.281517,0.454735,-0.479395
115.335,0.913664,0.0148212,8,255,0,-106.953,0.255517,0.811745,0.414914,0.816822,0.597892,0.8039,0.00837086,0.0254745,0.0144944,0.255517,0.811745,0.597892,0.414914,0.816822,0.8039
113.949,0.869908,0.0148212,8,255,0,-111.554,0.279687,0.775641,0.335116,0.568273,0.66277,-0.0498978,0.00636632,0.0228822,0.01779,0.279687,0.775641,0.66277,0.335116,0.568273,-0.0498978
111.432,0.874954,0.0148212,8,255,0,-107.448,0.237989,6.14853,0.317626,0.621944,0.662579,-0.00739198,0.00921968,0.0274208,0.0199687,0.237989,6.14853,0.662579,0.317626,0.621944,-0.00739198
113.204,0.999505,0.0148212,8,255,0,-109.665,0.21869,0.804485,0.349214,0.608322,0.507909,0.08926,0.00832305,0.0316296,0.0164418,0.21869,0.804485,0.507909,0.349214,0.608322,0.08926
108.882,0.807969,0.0148212,8,255,0,-102.348,0.275064,3.81587,0.491849,1.13165,0.803685,1.57806,0.0131379,0.0219056,0.0108574,0.275064,3.81587,0.803685,0.491849,1.13165,1.57806
105.886,0.313768,0.0148212,7,127,0,-102.797,0.285885,3.1889,0.506964,1.11788,0.851871,1.69008,0.0128886,0.0225272,0.011658,0.285885,3.1889,0.851871,0.506964,1.11788,1.69008
104.892,0.467683,0.0148212,6,63,0,-102.745,0.276848,4.24256,0.498745,1.19572,0.889114,1.65625,0.012193,0.0242973,0.0114432,0.276848,4.24256,0.889114,0.498745,1.19572,1.65625
105.517,0.0469324,0.0148212,7,127,0,-98.4267,0.215949,2.38301,0.455671,0.940699,0.48958,1.08744,0.0115906,0.0251312,0.0102249,0.215949,2.38301,0.48958,0.455671,0.940699,1.08744
106.34,0.862048,0.0148212,7,127,0,-101.305,0.242804,1.26503,0.490542,0.939859,0.670326,1.30558,0.0122849,0.0287651,0.0101845,0.242804,1.26503,0.670326,0.490542,0.939859,1.30558
114.127,0.933104,0.0148212,8,255,0,-103.268,0.255346,2.02325,0.445319,0.959124,0.660663,1.12097,0.00946275,0.0227861,0.0119877,0.255346,2.02325,0.660663,0.445319,0.959124,1.12097
113.77,0.988024,0.0148212,6,127,0,-110.357,0.26652,2.37286,0.452011,0.955289,0.728689,1.12094,0.00872164,0.0235803,0.0122724,0.26652,2.37286,0.728689,0.452011,0.955289,1.12094
113.034,0.76463,0.0148212,8,255,0,-109.037,0.258749,1.69899,0.358266,0.590173,0.652656,0.0554265,0.00846557,0.0237722,0.0156196,0.258749,1.69899,0.652656,0.358266,0.590173,0.0554265
113.205,0.883413,0.0148212,8,511,0,-111.093,0.222172,3.46416,0.390424,0.937444,0.564392,0.803353,0.00906252,0.0290347,0.0167801,0.222172,3.46416,0.564392,0.390424,0.937444,0.803353
112.21,0.909719,0.0148212,7,233,1,-107.889,0.204126,1.70099,0.423716,0.976936,0.501801,1.10467,0.00930557,0.0305962,0.0146971,0.204126,1.70099,0.501801,0.423716,0.976936,1.10467
113.689,0.992256,0.0148212,7,239,0,-107.043,0.216436,1.55498,0.376337,0.791818,0.541334,0.52021,0.00960913,0.0305592,0.0159196,0.216436,1.55498,0.541334,0.376337,0.791818,0.52021
111.567,0.648912,0.0148212,6,95,0,-106.292,0.222537,1.53293,0.373763,0.825026,0.526659,0.647069,0.00971557,0.0291258,0.0185431,0.222537,1.53293,0.526659,0.373763,0.825026,0.647069
111.514,0.956419,0.0148212,8,255,0,-109.541,0.269893,2.21595,0.355049,0.855139,0.733384,0.512662,0.00725904,0.0229,0.0179575,0.269893,2.21595,0.733384,0.355049,0.855139,0.512662
113.718,0.990575,0.0148212,7,127,0,-109.498,0.259196,2.15096,0.356223,0.564188,0.667564,-0.0129046,0.00852066,0.0227747,0.0152059,0.259196,2.15096,0.667564,0.356223,0.564188,-0.0129046
112.062,0.993803,0.0148212,7,255,0,-108.348,0.249271,4.17077,0.365851,0.637883,0.740954,0.21001,0.00819151,0.027326,0.0156661,0.249271,4.17077,0.740954,0.365851,0.637883,0.21001
115.032,0.970129,0.0148212,7,127,0,-108.774,0.241596,3.48697,0.368061,0.793076,0.654983,0.48718,0.00844341,0.0253269,0.0162337,0.241596,3.48697,0.654983,0.368061,0.793076,0.48718
110.812,0.877574,0.0148212,7,127,0,-109.116,0.264755,2.08263,0.354685,0.787792,0.723774,0.513907,0.0112446,0.0246941,0.0202671,0.264755,2.08263,0.723774,0.354685,0.787792,0.513907
114.6,0.947162,0.0148212,7,159,0,-104.657,0.243472,3.53285,0.384708,0.697239,0.699869,0.418149,0.00949977,0.0263389,0.0147534,0.243472,3.53285,0.699869,0.384708,0.697239,0.418149
114.329,0.924659,0.0148212,7,231,0,-107.514,0.237562,2.90492,0.433441,0.941766,0.617983,1.0767,0.00979397,0.0253727,0.0135097,0.237562,2.90492,0.617983,0.433441,0.941766,1.0767
114.052,0.860571,0.0148212,5,63,0,-111.93,0.236915,3.35548,0.436108,0.945092,0.61515,1.09457,0.00977059,0.0256636,0.013692,0.236915,3.35548,0.61515,0.436108,0.945092,1.09457
113.479,0.723392,0.0148212,8,255,0,-110.692,0.279439,1.23758,0.353683,0.688473,0.742226,0.269824,0.0073943,0.0224572,0.0167002,0.279439,1.23758,0.742226,0.353683,0.688473,0.269824
113.853,0.999334,0.0148212,6,127,0,-110.138,0.287098,1.1091,0.347483,0.642443,0.760587,0.138482,0.00776015,0.021709,0.0166753,0.287098,1.1091,0.760587,0.347483,0.642443,0.138482
113.302,0.869281,0.0148212,8,255,0,-108.703,0.233978,4.15694,0.396575,0.776911,0.629596,0.676451,0.00923835,0.0274306,0.0159941,0.233978,4.15694,0.629596,0.396575,0.776911,0.676451
110.174,0.888536,0.0148212,7,255,0,-108.47,0.20323,1.85169,0.351062,0.702636,0.521145,0.252176,0.0100023,0.0312438,0.0162808,0.20323,1.85169,0.521145,0.351062,0.702636,0.252176
114.891,0.932614,0.0148212,6,88,1,-99.4605,0.254037,3.13829,0.425718,0.909703,0.711815,0.964708,0.00900817,0.0236115,0.0131123,0.254037,3.13829,0.711815,0.425718,0.909703,0.964708
114.633,0.833227,0.0148212,8,511,0,-110.051,0.320198,0.335618,0.360549,0.718147,0.530141,0.361202,0.0071726,0.0209635,0.0172189,0.320198,0.335618,0.530141,0.360549,0.718147,0.361202
113.828,0.786511,0.0148212,8,319,0,-109.683,0.236487,1.59013,0.408854,0.687941,0.625056,0.485274,0.00902911,0.0283666,0.0131556,0.236487,1.59013,0.625056,0.408854,0.687941,0.485274
114.801,0.907753,0.0148212,7,127,0,-111.263,0.232061,2.3335,0.405321,0.802062,0.624151,0.720266,0.0083584,0.0269291,0.0145041,0.232061,2.3335,0.624151,0.405321,0.802062,0.720266
114.619,0.902523,0.0148212,6,95,0,-111.471,0.237146,2.89614,0.41487,0.777675,0.637467,0.725453,0.00710035,0.0261942,0.0139448,0.237146,2.89614,0.637467,0.41487,0.777675,0.725453
113.269,0.994006,0.0148212,3,7,0,-111.472,0.235265,2.79545,0.414707,0.768822,0.639294,0.756256,0.00710117,0.0261763,0.0139771,0.235265,2.79545,0.639294,0.414707,0.768822,0.756256
113.057,0.864458,0.0148212,8,255,0,-106.673,0.217814,1.71357,0.358693,0.675414,0.578333,0.302622,0.00785849,0.029971,0.0172198,0.217814,1.71357,0.578333,0.358693,0.675414,0.302622
114.218,0.999199,0.0148212,4,31,0,-111.432,0.221826,1.90396,0.358957,0.674015,0.554917,0.272261,0.00781945,0.029899,0.0172068,0.221826,1.90396,0.554917,0.358957,0.674015,0.272261
112.073,0.981855,0.0148212,5,63,0,-109.395,0.212072,1.7503,0.353037,0.64397,0.558231,0.208838,0.00764005,0.03047,0.0170623,0.212072,1.7503,0.558231,0.353037,0.64397,0.208838
113.98,0.98813,0.0148212,8,255,0,-109.291,0.250283,2.16423,0.338361,0.605641,0.690273,0.0718573,0.00684525,0.0249902,0.0181495,0.250283,2.16423,0.690273,0.338361,0.605641,0.0718573
109.827,0.666306,0.0148212,8,511,0,-106.428,0.328815,0.406823,0.437607,1.00058,0.677404,1.17862,0.0103929,0.0180183,0.0128539,0.328815,0.406823,0.677404,0.437607,1.00058,1.17862
109.173,0.96887,0.0148212,8,255,0,-104.877,0.269004,0.283174,0.407856,0.707695,0.403172,0.570294,0.00794979,0.0264162,0.0131511,0.269004,0.283174,0.403172,0.407856,0.707695,0.570294
112.426,0.880078,0.0148212,8,383,0,-105.913,0.321055,0.291326,0.405772,0.939788,0.436328,0.860631,0.00889584,0.0204315,0.0148243,0.321055,0.291326,0.436328,0.405772,0.939788,0.860631
112.236,0.910877,0.0148212,6,94,1,-105.871,0.302184,0.333465,0.43449,1.07128,0.452296,1.17466,0.00904566,0.0207132,0.0135016,0.302184,0.333465,0.452296,0.43449,1.07128,1.17466
112.549,0.972195,0.0148212,8,383,0,-109.82,0.360693,0.238853,0.428861,0.831811,0.450782,0.870094,0.00775411,0.0170991,0.012355,0.360693,0.238853,0.450782,0.428861,0.831811,0.870094
110.364,0.968793,0.0148212,6,63,0,-108.17,0.382061,0.216174,0.458075,0.781514,0.446769,0.91191,0.0070467,0.0183744,0.0106731,0.382061,0.216174,0.446769,0.458075,0.781514,0.91191
111.673,0.807805,0.0148212,8,255,0,-104.38,0.388519,0.222138,0.417668,0.762546,0.434697,0.687814,0.00716995,0.0154552,0.0126415,0.388519,0.222138,0.434697,0.417668,0.762546,0.687814
113.587,0.872387,0.0148212,9,511,0,-108.31,0.198325,1.97819,0.386642,0.76407,0.488779,0.572343,0.00740676,0.0329456,0.0160383,0.198325,1.97819,0.488779,0.386642,0.76407,0.572343
113.093,0.796285,0.0148212,8,255,0,-109.67,0.284589,1.64138,0.43432,0.869816,0.768697,0.900405,0.00882636,0.0209082,0.012385,0.284589,1.64138,0.768697,0.43432,0.869816,0.900405
111.334,0.821858,0.0148212,6,97,1,-108.409,0.292492,1.02151,0.422515,0.729263,0.765884,0.602288,0.0105264,0.0213869,0.0120355,0.292492,1.02151,0.765884,0.422515,0.729263,0.602288
112.144,0.999795,0.0148212,6,127,0,-109.24,0.287666,1.28279,0.415512,0.87618,0.695196,0.833103,0.00989787,0.0190739,0.0132511,0.287666,1.28279,0.695196,0.415512,0.87618,0.833103
108.436,0.856006,0.0148212,8,511,0,-103.785,0.236402,1.24638,0.36411,0.878792,0.625731,0.617728,0.00678373,0.0305694,0.0190568,0.236402,1.24638,0.625731,0.36411,0.878792,0.617728
108.753,0.251932,0.0148212,8,511,0,-100.398,0.225788,3.53107,0.28118,0.386695,0.619989,-0.868768,0.0103648,0.0285457,0.0180617,0.225788,3.53107,0.619989,0.28118,0.386695,-0.868768
105.406,0.973151,0.0148212,7,127,0,-102.065,0.185707,1.92903,0.259482,0.481306,0.47061,-0.529327,0.0076319,0.0376715,0.0237199,0.185707,1.92903,0.47061,0.259482,0.481306,-0.529327
106.782,0.932309,0.0148212,6,63,0,-101.994,0.184513,1.78627,0.260025,0.46949,0.445841,-0.569758,0.00809309,0.0358664,0.0241176,0.184513,1.78627,0.445841,0.260025,0.46949,-0.569758
112.703,0.90636,0.0148212,7,127,0,-102.49,0.227865,2.82366,0.295169,0.42768,0.608464,-0.632905,0.00869365,0.0279325,0.0184903,0.227865,2.82366,0.608464,0.295169,0.42768,-0.632905
111.949,0.997,0.0148212,6,127,0,-108.64,0.219591,2.89177,0.293005,0.438702,0.547088,-0.592537,0.00853989,0.0276843,0.0188227,0.219591,2.89177,0.547088,0.293005,0.438702,-0.592537
111.976,0.99687,0.0148212,7,127,0,-107.667,0.248148,2.89435,0.30184,0.596175,0.732017,-0.0834961,0.00942472,0.0278321,0.0218747,0.248148,2.89435,0.732017,0.30184,0.596175,-0.0834961
113.61,0.971191,0.0148212,6,79,0,-108.076,0.250274,2.28281,0.308381,0.598169,0.659015,-0.0466847,0.00914871,0.0257957,0.0217794,0.250274,2.28281,0.659015,0.308381,0.598169,-0.0466847
113.069,0.868965,0.0148212,8,255,0,-108.634,0.224205,3.37642,0.376867,0.607041,0.633618,0.19278,0.00730457,0.0290372,0.0144566,0.224205,3.37642,0.633618,0.376867,0.607041,0.19278
112.447,0.959431,0.0148212,8,255,0,-110.788,0.256502,1.68674,0.43596,1.28558,0.66423,1.3563,0.00997505,0.0247986,0.015056,0.256502,1.68674,0.66423,0.43596,1.28558,1.3563
112.461,0.92417,0.0148212,7,223,0,-108.75,0.263052,1.58213,0.463586,0.956329,0.670289,1.25891,0.0104588,0.0222281,0.0116792,0.263052,1.58213,0.670289,0.463586,0.956329,1.25891
114.072,0.731063,0.0148212,6,95,0,-110.827,0.256475,1.23602,0.47541,1.15086,0.637477,1.43479,0.00969898,0.0245287,0.0114347,0.256475,1.23602,0.637477,0.47541,1.15086,1.43479
112.934,0.632398,0.0148212,7,223,0,-108.79,0.286268,1.10639,0.430061,1.00367,0.740044,1.02978,0.00896275,0.0215303,0.0129269,0.286268,1.10639,0.740044,0.430061,1.00367,1.02978
110.672,0.241816,0.0148212,7,255,0,-103.715,0.240126,1.83071,0.394356,0.587962,0.590444,0.224718,0.00994419,0.025697,0.013522,0.240126,1.83071,0.590444,0.394356,0.587962,0.224718
112.628,0.989887,0.0148212,7,127,0,-107.466,0.24984,2.38564,0.386452,0.567745,0.676055,0.117022,0.00909488,0.0242229,0.0131699,0.24984,2.38564,0.676055,0.386452,0.567745,0.117022
113.148,0.949444,0.0148212,8,255,0,-106.732,0.294537,0.589702,0.416017,0.729652,0.70205,0.619486,0.00863629,0.0222186,0.0126675,0.294537,0.589702,0.70205,0.416017,0.729652,0.619486
112.323,0.920609,0.0148212,7,195,1,-110.073,0.331152,0.365794,0.372824,0.852571,0.576779,0.636943,0.00980894,0.0188827,0.0175615,0.331152,0.365794,0.576779,0.372824,0.852571,0.636943
112.904,0.937244,0.0148212,7,255,0,-105.761,0.317672,0.341643,0.338338,0.728121,0.56556,0.319664,0.00729417,0.0210433,0.0198973,0.317672,0.341643,0.56556,0.338338,0.728121,0.319664
109.017,0.70516,0.0148212,8,511,0,-105.97,0.368787,0.235505,0.478562,1.36942,0.438769,1.75397,0.0108056,0.0163383,0.0122135,0.368787,0.235505,0.438769,0.478562,1.36942,1.75397
110.803,0.830686,0.0148212,5,39,0,-104.328,0.384594,0.230359,0.498338,1.48112,0.445891,1.85967,0.00993917,0.0163974,0.0110407,0.384594,0.230359,0.445891,0.498338,1.48112,1.85967
110.225,0.0130409,0.0148212,7,127,0,-106.284,0.386344,0.229677,0.498009,1.48616,0.446417,1.85608,0.00993535,0.0164037,0.0109988,0.386344,0.229677,0.446417,0.498009,1.48616,1.85608
112.195,0.412598,0.0148212,7,127,0,-103.98,0.379307,0.238556,0.447782,1.15437,0.471301,1.33969,0.00927376,0.0160024,0.0126698,0.379307,0.238556,0.471301,0.447782,1.15437,1.33969
112.859,0.977779,0.0148212,8,441,1,-105.713,0.267814,0.856531,0.406641,0.656398,0.691394,0.441732,0.00837878,0.0248453,0.0130558,0.267814,0.856531,0.691394,0.406641,0.656398,0.441732
115.104,0.937431,0.0148212,7,167,0,-110.917,0.26349,0.956996,0.372981,0.643311,0.620134,0.274099,0.00823029,0.0230117,0.0152549,0.26349,0.956996,0.620134,0.372981,0.643311,0.274099
114.003,0.986616,0.0148212,8,255,0,-112.232,0.224115,4.23081,0.398007,0.930186,0.59063,0.864064,0.00721603,0.0268479,0.0155307,0.224115,4.23081,0.59063,0.398007,0.930186,0.864064
115.388,0.895381,0.0148212,7,127,0,-111.2,0.226652,2.65644,0.397447,0.782608,0.626879,0.655745,0.00751944,0.0285384,0.0150383,0.226652,2.65644,0.626879,0.397447,0.782608,0.655745
113.666,0.991509,0.0148212,7,127,0,-110.784,0.210208,2.43569,0.354702,0.736147,0.539422,0.36646,0.00840064,0.0320132,0.0183914,0.210208,2.43569,0.539422,0.354702,0.736147,0.36646
114.576,0.974665,0.0148212,8,255,0,-108.085,0.2792,1.22396,0.353903,0.630257,0.736395,0.159129,0.00899449,0.0226449,0.0164638,0.2792,1.22396,0.736395,0.353903,0.630257,0.159129
116.121,0.996812,0.0148212,7,255,0,-112.405,0.24848,1.84066,0.365578,0.732162,0.636842,0.392551,0.00800663,0.0245254,0.0164606,0.24848,1.84066,0.636842,0.365578,0.732162,0.392551
114.455,0.811952,0.0148212,7,223,0,-112.211,0.241197,1.44077,0.371338,0.686174,0.65404,0.370221,0.00741086,0.0275171,0.0158943,0.241197,1.44077,0.65404,0.371338,0.686174,0.370221
116.728,0.958427,0.0148212,8,255,0,-113.141,0.263125,2.86213,0.373573,0.719365,0.713172,0.420055,0.00743167,0.0230574,0.0160081,0.263125,2.86213,0.713172,0.373573,0.719365,0.420055
109.698,0.956677,0.0148212,8,255,0,-106.653,0.297034,0.213027,0.35014,0.661171,0.267974,0.187893,0.0083368,0.0283195,0.016717,0.297034,0.213027,0.267974,0.35014,0.661171,0.187893
109.815,0.918464,0.0148212,8,255,0,-101.673,0.316187,0.4521,0.415335,1.08817,0.5969,1.02565,0.00962909,0.0186241,0.0136283,0.316187,0.4521,0.5969,0.415335,1.08817,1.02565
110.254,0.999149,0.0148212,7,127,0,-105.003,0.297506,0.650325,0.450385,0.759546,0.720931,0.766384,0.0090023,0.0217407,0.0104073,0.297506,0.650325,0.720931,0.450385,0.759546,0.766384
110.547,0.818896,0.0148212,6,122,1,-107.6,0.285364,0.759169,0.411345,0.709657,0.643489,0.507132,0.00908409,0.0201427,0.0117776,0.285364,0.759169,0.643489,0.411345,0.709657,0.507132
111.41,0.96667,0.0148212,7,127,0,-108.589,0.284819,0.973828,0.421737,1.06688,0.723564,1.14266,0.00905097,0.0230689,0.0160567,0.284819,0.973828,0.723564,0.421737,1.06688,1.14266
113.851,0.922466,0.0148212,7,191,0,-109.824,0.278103,0.972988,0.419791,1.07466,0.66985,1.05285,0.00848754,0.021953,0.0140853,0.278103,0.972988,0.66985,0.419791,1.07466,1.05285
112.424,0.766933,0.0148212,7,191,0,-107.339,0.27649,0.410388,0.414137,0.827495,0.536495,0.800238,0.00842642,0.0274022,0.0148629,0.27649,0.410388,0.536495,0.414137,0.827495,0.800238
111.347,0.947988,0.0148212,8,255,0,-109.137,0.241159,0.720122,0.432358,0.76354,0.512661,0.751248,0.00796421,0.0251761,0.0117363,0.241159,0.720122,0.512661,0.432358,0.76354,0.751248
111.369,0.844428,0.0148212,7,127,0,-104.097,0.233932,3.14261,0.400267,0.775135,0.679762,0.614798,0.0094014,0.0300257,0.0151541,0.233932,3.14261,0.679762,0.400267,0.775135,0.614798
114.361,0.852371,0.0148212,7,255,0,-106.067,0.245106,3.18164,0.405153,0.740191,0.722708,0.61073,0.00847175,0.0270265,0.0141261,0.245106,3.18164,0.722708,0.405153,0.740191,0.61073
111.789,0.976927,0.0148212,8,255,0,-110.046,0.253291,0.915078,0.422558,0.979201,0.632296,1.02631,0.00837359,0.0283536,0.0154878,0.253291,0.915078,0.632296,0.422558,0.979201,1.02631
111.453,0.926004,0.0148212,7,191,0,-108.056,0.223886,2.25226,0.413606,1.10006,0.515257,1.07795,0.0100909,0.0259739,0.0145614,0.223886,2.25226,0.515257,0.413606,1.10006,1.07795
111.089,0.994694,0.0148212,6,127,0,-106.586,0.229956,2.68106,0.419931,1.29463,0.584702,1.28272,0.0120527,0.0276193,0.016283,0.229956,2.68106,0.584702,0.419931,1.29463,1.28272
109.103,0.737871,0.0148212,6,99,1,-106.851,0.221681,2.94345,0.405738,1.206,0.582634,1.08066,0.0126447,0.028226,0.0152462,0.221681,2.94345,0.582634,0.405738,1.206,1.08066
107.018,0.991599,0.0148212,6,63,0,-105.654,0.235682,3.84554,0.418527,1.35382,0.617165,1.37805,0.0140676,0.0267408,0.0176115,0.235682,3.84554,0.617165,0.418527,1.35382,1.37805
110.059,0.995862,0.0148212,7,255,0,-103.746,0.267159,1.03482,0.399835,1.2585,0.607889,1.15489,0.0111231,0.0223351,0.0172596,0.267159,1.03482,0.607889,0.399835,1.2585,1.15489
111.278,0.93715,0.0148212,8,255,0,-107.69,0.251185,0.587915,0.403194,1.22435,0.534896,1.18572,0.00971511,0.0270523,0.0179005,0.251185,0.587915,0.534896,0.403194,1.22435,1.18572
111.177,0.994723,0.0148212,8,255,0,-107.882,0.218277,5.10156,0.431902,0.702959,0.589727,0.654778,0.00870412,0.029837,0.0124552,0.218277,5.10156,0.589727,0.431902,0.702959,0.654778
114.154,0.997989,0.0148212,7,127,0,-108.715,0.225371,4.85321,0.418234,0.848076,0.605575,0.87888,0.00931211,0.0279016,0.0145685,0.225371,4.85321,0.605575,0.418234,0.848076,0.87888
112.873,0.925801,0.0148212,8,255,0,-108.806,0.29628,0.459803,0.413916,0.808245,0.559949,0.759584,0.0075097,0.0210138,0.014088,0.29628,0.459803,0.559949,0.413916,0.808245,0.759584
110.735,0.824748,0.0148212,8,511,0,-104.595,0.320242,0.435447,0.364766,0.667639,0.7008,0.254617,0.01011,0.0209165,0.0154743,0.320242,0.435447,0.7008,0.364766,0.667639,0.254617
113.157,0.99898,0.0148212,7,127,0,-105.956,0.258984,4.62582,0.374282,0.710282,0.751637,0.441042,0.00849041,0.0255749,0.017094,0.258984,4.62582,0.751637,0.374282,0.710282,0.441042
114.11,0.904746,0.0148212,7,223,0,-110.566,0.250144,1.98874,0.425761,0.85263,0.643855,0.868486,0.00893383,0.0229666,0.0124068,0.250144,1.98874,0.643855,0.425761,0.85263,0.868486
112.146,0.632484,0.0148212,8,255,0,-109.579,0.276413,0.677366,0.509099,1.08813,0.650415,1.56809,0.00933274,0.0246015,0.0101375,0.276413,0.677366,0.650415,0.509099,1.08813,1.56809
108.689,0.0964442,0.0148212,8,511,0,-103.261,0.399442,0.176882,0.297063,0.55476,0.301069,-0.232933,0.00846052,0.0175453,0.0203286,0.399442,0.176882,0.301069,0.297063,0.55476,-0.232933
111.415,0.949129,0.0148212,9,511,0,-101.946,0.2718,3.15692,0.348615,0.668817,0.740316,0.212857,0.0101559,0.0206805,0.0175835,0.2718,3.15692,0.740316,0.348615,0.668817,0.212857
112.199,0.997903,0.0148212,6,63,0,-110.565,0.273245,2.67845,0.346185,0.668631,0.727999,0.200739,0.0100273,0.0212058,0.0181748,0.273245,2.67845,0.727999,0.346185,0.668631,0.200739
109.587,0.864545,0.0148212,6,79,0,-107.592,0.272152,2.84616,0.34257,0.692821,0.752915,0.277137,0.00993271,0.021798,0.0180763,0.272152,2.84616,0.752915,0.34257,0.692821,0.277137
112.497,0.997904,0.0148212,8,255,0,-107.011,0.259672,0.662668,0.294043,0.469331,0.580572,-0.444876,0.00759517,0.0258326,0.0198332,0.259672,0.662668,0.580572,0.294043,0.469331,-0.444876
115.956,0.891292,0.0148212,8,511,0,-110.158,0.267071,1.34909,0.350349,0.659637,0.706105,0.230796,0.00729005,0.0235914,0.0174984,0.267071,1.34909,0.706105,0.350349,0.659637,0.230796
111.753,0.826254,0.0148212,8,255,0,-109.974,0.223701,2.8485,0.492369,1.16417,0.599293,1.58348,0.010046,0.0291934,0.0112612,0.223701,2.8485,0.599293,0.492369,1.16417,1.58348
113.981,0.919154,0.0148212,8,255,0,-110.498,0.261537,1.41427,0.317562,0.544903,0.680135,-0.173287,0.00658349,0.0245517,0.0191269,0.261537,1.41427,0.680135,0.317562,0.544903,-0.173287
